UQNO,Geo_Type_Code,Province,Stratum,Metro_code
664104070000009501,Traditional,North West,60401,NW - Non-metro
199159030000006701,Urban,Western Cape,11114,WC - City of Cape Town
760110490000016001,Urban,Gauteng,70104,GP - Non-metro
183100700000000301,Urban,Western Cape,10103,WC - Non-metro
667102640000002201,Traditional,North West,60205,NW - Non-metro
299109630000008802,Urban,Eastern Cape,23103,EC - Nelson Mandela Bay
296104020000018901,Traditional,Eastern Cape,20218,EC - Non-metro
797126660000010902,Urban,Gauteng,76106,GP - Ekurhuleni
199104130000031601,Urban,Western Cape,11107,WC - City of Cape Town
299111090000007601,Urban,Eastern Cape,23106,EC - Nelson Mandela Bay
270106230000009201,Traditional,Eastern Cape,20212,EC - Non-metro
199122810000015101,Urban,Western Cape,11107,WC - City of Cape Town
199148050000021901,Urban,Western Cape,11113,WC - City of Cape Town
862102380000004901,Farms,Mpumalanga,80301,MP - Non-metro
798133220000021601,Urban,Gauteng,77116,GP - City of Johannesburg
178101260000005301,Urban,Western Cape,10106,WC - Non-metro
760108580000012401,Urban,Gauteng,70106,GP - Non-metro
569100350000020401,Traditional,KwaZulu-Natal,50213,KZN - Non-metro
798133220000001801,Urban,Gauteng,77116,GP - City of Johannesburg
760105090000006001,Urban,Gauteng,70104,GP - Non-metro
874110010000011701,Traditional,Mpumalanga,80205,MP - Non-metro
970100020000003301,Traditional,Limpopo,90213,LP - Non-metro
599122040000013301,Urban,KwaZulu-Natal,55108,KZN - eThekwini
669101380000024601,Traditional,North West,60201,NW - Non-metro
974110780000007501,Traditional,Limpopo,90209,LP - Non-metro
529102930000005501,Urban,KwaZulu-Natal,50105,KZN - Non-metro
290104020000011201,Traditional,Eastern Cape,20219,EC - Non-metro
667103110000013301,Traditional,North West,60204,NW - Non-metro
294108390000026301,Urban,Eastern Cape,20101,EC - Non-metro
464100250000011401,Urban,Free State,40109,FS - Non-metro
967100440000033401,Urban,Limpopo,90105,LP - Non-metro
271106610030001001,Urban,Eastern Cape,20104,EC - Non-metro
166100640000031501,Urban,Western Cape,10110,WC - Non-metro
375100140000004501,Urban,Northern Cape,30101,NC - Non-metro
514101310000010301,Urban,KwaZulu-Natal,50108,KZN - Non-metro
663101050000006501,Urban,North West,60106,NW - Non-metro
798115560000001101,Urban,Gauteng,77105,GP - City of Johannesburg
593100350000023401,Traditional,KwaZulu-Natal,50212,KZN - Non-metro
874104150000003801,Traditional,Mpumalanga,80208,MP - Non-metro
467107470000004201,Urban,Free State,40401,FS - Non-metro
467103150000004401,Urban,Free State,40107,FS - Non-metro
662107790000016101,Urban,North West,60103,NW - Non-metro
271108510000004401,Traditional,Eastern Cape,20204,EC - Non-metro
199136570040002001,Urban,Western Cape,11107,WC - City of Cape Town
472100440000022801,Traditional,Free State,40201,FS - Non-metro
675100380000013601,Farms,North West,60301,NW - Non-metro
662105050000025001,Urban,North West,60106,NW - Non-metro
503102800000010601,Traditional,KwaZulu-Natal,50217,KZN - Non-metro
599142290000001201,Urban,KwaZulu-Natal,55104,KZN - eThekwini
369100270000001801,Urban,Northern Cape,30103,NC - Non-metro
260104340000013301,Urban,Eastern Cape,22103,EC - Buffalo City
760110910000010601,Urban,Gauteng,70104,GP - Non-metro
478101990000027801,Urban,Free State,40107,FS - Non-metro
474100720000005401,Urban,Free State,40106,FS - Non-metro
667101820000004001,Traditional,North West,60201,NW - Non-metro
798113930010000201,Urban,Gauteng,77103,GP - City of Johannesburg
293102410000028701,Traditional,Eastern Cape,20217,EC - Non-metro
981100940000007401,Urban,Limpopo,90105,LP - Non-metro
299110500010000501,Urban,Eastern Cape,23101,EC - Nelson Mandela Bay
199158770000013801,Urban,Western Cape,11103,WC - City of Cape Town
797147900000014802,Urban,Gauteng,76109,GP - Ekurhuleni
960101020000013601,Traditional,Limpopo,90203,LP - Non-metro
177100890000003301,Urban,Western Cape,10105,WC - Non-metro
199143730040003001,Urban,Western Cape,11109,WC - City of Cape Town
760108910000013101,Urban,Gauteng,70108,GP - Non-metro
797144890000018001,Urban,Gauteng,76103,GP - Ekurhuleni
761101160000019901,Urban,Gauteng,70107,GP - Non-metro
860100670000004601,Traditional,Mpumalanga,80202,MP - Non-metro
797132850000007701,Urban,Gauteng,76108,GP - Ekurhuleni
978101460000005401,Traditional,Limpopo,90216,LP - Non-metro
271108510000009801,Traditional,Eastern Cape,20204,EC - Non-metro
984101920000019101,Traditional,Limpopo,90201,LP - Non-metro
499105500000004801,Urban,Free State,44101,FS - Mangaung
798119330000034801,Urban,Gauteng,77116,GP - City of Johannesburg
514101030000007701,Traditional,KwaZulu-Natal,50216,KZN - Non-metro
467107470000010501,Urban,Free State,40401,FS - Non-metro
677100520000006501,Urban,North West,60104,NW - Non-metro
199142050000007401,Urban,Western Cape,11113,WC - City of Cape Town
760112750000031001,Urban,Gauteng,70107,GP - Non-metro
468101110000013201,Urban,Free State,40101,FS - Non-metro
760110910000002101,Urban,Gauteng,70104,GP - Non-metro
566102100000024101,Urban,KwaZulu-Natal,50107,KZN - Non-metro
877101300000011301,Traditional,Mpumalanga,80204,MP - Non-metro
877108560000000501,Traditional,Mpumalanga,80204,MP - Non-metro
360101270000006001,Traditional,Northern Cape,30201,NC - Non-metro
665100900000001801,Traditional,North West,60202,NW - Non-metro
499100270000007701,Urban,Free State,44101,FS - Mangaung
199100910000018701,Urban,Western Cape,11107,WC - City of Cape Town
760100820000023301,Urban,Gauteng,70108,GP - Non-metro
668102490000017801,Traditional,North West,60205,NW - Non-metro
798144860000013301,Urban,Gauteng,77111,GP - City of Johannesburg
598102620000011901,Farms,KwaZulu-Natal,50217,KZN - Non-metro
964100540000008701,Traditional,Limpopo,90216,LP - Non-metro
384100020000014001,Traditional,Northern Cape,30301,NC - Non-metro
985103920000015901,Traditional,Limpopo,90210,LP - Non-metro
866104990000016701,Urban,Mpumalanga,80109,MP - Non-metro
283101230000002201,Traditional,Eastern Cape,20209,EC - Non-metro
383103630000010701,Urban,Northern Cape,30103,NC - Non-metro
273103440000004201,Urban,Eastern Cape,20102,EC - Non-metro
276103210000022801,Traditional,Eastern Cape,20213,EC - Non-metro
987105430000011901,Traditional,Limpopo,90401,LP - Non-metro
566109040000006501,Urban,KwaZulu-Natal,50110,KZN - Non-metro
797123710000013501,Urban,Gauteng,76107,GP - Ekurhuleni
273101720000002001,Urban,Eastern Cape,20105,EC - Non-metro
672103380000011901,Traditional,North West,60204,NW - Non-metro
866102790000011301,Urban,Mpumalanga,80101,MP - Non-metro
164100600000019801,Farms,Western Cape,10301,WC - Non-metro
662106790000017501,Urban,North West,60101,NW - Non-metro
199136330000012602,Urban,Western Cape,11113,WC - City of Cape Town
160101020000007401,Urban,Western Cape,10108,WC - Non-metro
583102970000013701,Traditional,KwaZulu-Natal,50202,KZN - Non-metro
985103680000015001,Traditional,Limpopo,90214,LP - Non-metro
199120270000020401,Urban,Western Cape,11109,WC - City of Cape Town
594100430000013201,Traditional,KwaZulu-Natal,50214,KZN - Non-metro
167101440000002701,Urban,Western Cape,10105,WC - Non-metro
270102750000000501,Traditional,Eastern Cape,20202,EC - Non-metro
798120230000022601,Urban,Gauteng,77116,GP - City of Johannesburg
798113930010002401,Urban,Gauteng,77103,GP - City of Johannesburg
871100080000008901,Traditional,Mpumalanga,80207,MP - Non-metro
599153590000012101,Urban,KwaZulu-Natal,55106,KZN - eThekwini
960101020000005601,Traditional,Limpopo,90203,LP - Non-metro
799117290110001101,Urban,Gauteng,78113,GP - City of Tshwane
798118580000022301,Urban,Gauteng,77116,GP - City of Johannesburg
760112450000011701,Urban,Gauteng,70104,GP - Non-metro
467107600000002702,Urban,Free State,40101,FS - Non-metro
798145430000019401,Urban,Gauteng,77102,GP - City of Johannesburg
678100370000009101,Urban,North West,60107,NW - Non-metro
266100620000011101,Urban,Eastern Cape,20103,EC - Non-metro
460100460000012701,Urban,Free State,40105,FS - Non-metro
599147780000004301,Traditional,KwaZulu-Natal,55201,KZN - eThekwini
864100050000010201,Farms,Mpumalanga,80301,MP - Non-metro
962102250000015801,Traditional,Limpopo,90209,LP - Non-metro
799119630000006401,Urban,Gauteng,78106,GP - City of Tshwane
798100150000007401,Urban,Gauteng,77113,GP - City of Johannesburg
968101630000005001,Traditional,Limpopo,90203,LP - Non-metro
461100920000026501,Urban,Free State,40102,FS - Non-metro
478102020000009601,Urban,Free State,40108,FS - Non-metro
798117850000021101,Urban,Gauteng,77116,GP - City of Johannesburg
797145570000001201,Urban,Gauteng,76108,GP - Ekurhuleni
371100810000001701,Urban,Northern Cape,30101,NC - Non-metro
797147090000009301,Urban,Gauteng,76110,GP - Ekurhuleni
199119770000007301,Urban,Western Cape,11103,WC - City of Cape Town
514102350000017001,Urban,KwaZulu-Natal,50109,KZN - Non-metro
199115230000011301,Urban,Western Cape,11109,WC - City of Cape Town
360101130000009501,Traditional,Northern Cape,30201,NC - Non-metro
798124710000016702,Urban,Gauteng,77116,GP - City of Johannesburg
294107890000026601,Urban,Eastern Cape,20213,EC - Non-metro
661108830000015601,Traditional,North West,60204,NW - Non-metro
860100620000005401,Traditional,Mpumalanga,80207,MP - Non-metro
270105710000003801,Traditional,Eastern Cape,20219,EC - Non-metro
799132260000000601,Urban,Gauteng,78112,GP - City of Tshwane
199124360000023801,Urban,Western Cape,11108,WC - City of Cape Town
799107210000023701,Urban,Gauteng,78112,GP - City of Tshwane
273101300000012601,Urban,Eastern Cape,20107,EC - Non-metro
874109990000003301,Traditional,Mpumalanga,80205,MP - Non-metro
561101830000008301,Traditional,KwaZulu-Natal,50214,KZN - Non-metro
876102010000005101,Traditional,Mpumalanga,80202,MP - Non-metro
260112560000015201,Urban,Eastern Cape,22102,EC - Buffalo City
665102020000012501,Traditional,North West,60202,NW - Non-metro
524103690000016301,Urban,KwaZulu-Natal,50110,KZN - Non-metro
499108610000001901,Urban,Free State,44101,FS - Mangaung
276100300000021401,Traditional,Eastern Cape,20221,EC - Non-metro
199114110000013002,Urban,Western Cape,11104,WC - City of Cape Town
199101510000002301,Urban,Western Cape,11110,WC - City of Cape Town
577100360000022601,Traditional,KwaZulu-Natal,50202,KZN - Non-metro
592103340090000401,Urban,KwaZulu-Natal,50109,KZN - Non-metro
582102180000017501,Traditional,KwaZulu-Natal,50201,KZN - Non-metro
369100270000011401,Urban,Northern Cape,30103,NC - Non-metro
987103540000008101,Traditional,Limpopo,90207,LP - Non-metro
168102050000003101,Urban,Western Cape,10111,WC - Non-metro
667101110000004601,Urban,North West,60104,NW - Non-metro
506103430000042401,Urban,KwaZulu-Natal,50105,KZN - Non-metro
199114870000001901,Urban,Western Cape,11105,WC - City of Cape Town
284106580000005701,Traditional,Eastern Cape,20218,EC - Non-metro
271102830000016901,Traditional,Eastern Cape,20220,EC - Non-metro
503102750000005201,Traditional,KwaZulu-Natal,50217,KZN - Non-metro
968109040000014101,Traditional,Limpopo,90211,LP - Non-metro
180101160000007901,Urban,Western Cape,10109,WC - Non-metro
799150400000021501,Traditional,Gauteng,78201,GP - City of Tshwane
874105320000002601,Traditional,Mpumalanga,80204,MP - Non-metro
593100350000005901,Traditional,KwaZulu-Natal,50212,KZN - Non-metro
575101360000012301,Traditional,KwaZulu-Natal,50209,KZN - Non-metro
592102070000004401,Urban,KwaZulu-Natal,50106,KZN - Non-metro
299110350020000401,Urban,Eastern Cape,23101,EC - Nelson Mandela Bay
669101230000004601,Urban,North West,60103,NW - Non-metro
797140860000012201,Urban,Gauteng,76107,GP - Ekurhuleni
874111060000023901,Traditional,Mpumalanga,80205,MP - Non-metro
546101230000009801,Traditional,KwaZulu-Natal,50217,KZN - Non-metro
478101600000006201,Urban,Free State,40102,FS - Non-metro
276100300000024501,Traditional,Eastern Cape,20221,EC - Non-metro
597101020000017601,Traditional,KwaZulu-Natal,50217,KZN - Non-metro
467103780000008701,Urban,Free State,40101,FS - Non-metro
765101410000018301,Urban,Gauteng,70401,GP - Non-metro
199119940000009201,Urban,Western Cape,11108,WC - City of Cape Town
467100750000016501,Urban,Free State,40102,FS - Non-metro
467101350000002601,Urban,Free State,40401,FS - Non-metro
499110120000008501,Urban,Free State,44101,FS - Mangaung
183100420000009501,Urban,Western Cape,10105,WC - Non-metro
199143150000027601,Urban,Western Cape,11114,WC - City of Cape Town
499101470000005901,Urban,Free State,44101,FS - Mangaung
662100890030000601,Urban,North West,60402,NW - Non-metro
760103990000016201,Urban,Gauteng,70102,GP - Non-metro
270107020000011301,Traditional,Eastern Cape,20219,EC - Non-metro
499107840000013701,Urban,Free State,44102,FS - Mangaung
285100730000014401,Traditional,Eastern Cape,20211,EC - Non-metro
272100510000014601,Traditional,Eastern Cape,20220,EC - Non-metro
798162010000012101,Urban,Gauteng,77102,GP - City of Johannesburg
968106940000012801,Traditional,Limpopo,90202,LP - Non-metro
581101670000013401,Traditional,KwaZulu-Natal,50209,KZN - Non-metro
467108560000008401,Urban,Free State,40102,FS - Non-metro
299101720000001301,Urban,Eastern Cape,23105,EC - Nelson Mandela Bay
294109210000008401,Urban,Eastern Cape,20101,EC - Non-metro
199105340000023801,Urban,Western Cape,11107,WC - City of Cape Town
474100230000018001,Urban,Free State,40101,FS - Non-metro
284103990000024701,Urban,Eastern Cape,20101,EC - Non-metro
499110920160000601,Urban,Free State,44103,FS - Mangaung
199117280000009201,Urban,Western Cape,11109,WC - City of Cape Town
594101320000006601,Traditional,KwaZulu-Natal,50217,KZN - Non-metro
798132870000028501,Urban,Gauteng,77116,GP - City of Johannesburg
973100710000010601,Traditional,Limpopo,90204,LP - Non-metro
798120740000030801,Urban,Gauteng,77106,GP - City of Johannesburg
467108170000012401,Urban,Free State,40102,FS - Non-metro
876100790000009901,Traditional,Mpumalanga,80204,MP - Non-metro
675100100000007401,Urban,North West,60102,NW - Non-metro
282106700000011401,Traditional,Eastern Cape,20202,EC - Non-metro
666100140000010101,Urban,North West,60107,NW - Non-metro
797146260000020601,Urban,Gauteng,76109,GP - Ekurhuleni
294108860000005801,Traditional,Eastern Cape,20210,EC - Non-metro
799142670000011901,Urban,Gauteng,78105,GP - City of Tshwane
466100380000016801,Urban,Free State,40105,FS - Non-metro
869104160000006601,Urban,Mpumalanga,80106,MP - Non-metro
870100530000024301,Urban,Mpumalanga,80105,MP - Non-metro
287103150000005001,Urban,Eastern Cape,20208,EC - Non-metro
798153230000024901,Urban,Gauteng,77116,GP - City of Johannesburg
177100490000122001,Urban,Western Cape,10105,WC - Non-metro
472107690000009501,Urban,Free State,40102,FS - Non-metro
499101500000001901,Urban,Free State,44101,FS - Mangaung
798119750000003101,Urban,Gauteng,77108,GP - City of Johannesburg
576102350000012801,Farms,KwaZulu-Natal,50301,KZN - Non-metro
877109310000015301,Traditional,Mpumalanga,80204,MP - Non-metro
468101340000000301,Urban,Free State,40104,FS - Non-metro
270108750000012201,Traditional,Eastern Cape,20210,EC - Non-metro
499111590000009401,Urban,Free State,44104,FS - Mangaung
798102570000004501,Urban,Gauteng,77113,GP - City of Johannesburg
364101310000010201,Urban,Northern Cape,30101,NC - Non-metro
961101610000001501,Traditional,Limpopo,90205,LP - Non-metro
461100090000010701,Urban,Free State,40105,FS - Non-metro
467103340000009601,Urban,Free State,40101,FS - Non-metro
514101030000001401,Traditional,KwaZulu-Natal,50216,KZN - Non-metro
968100660000003701,Traditional,Limpopo,90212,LP - Non-metro
573100670000008201,Traditional,KwaZulu-Natal,50214,KZN - Non-metro
599105140000047301,Traditional,KwaZulu-Natal,55109,KZN - eThekwini
599155880110000301,Urban,KwaZulu-Natal,55111,KZN - eThekwini
260111580000006201,Urban,Eastern Cape,22104,EC - Buffalo City
667102060000003401,Traditional,North West,60204,NW - Non-metro
580100850000010901,Traditional,KwaZulu-Natal,50209,KZN - Non-metro
797148020000055601,Urban,Gauteng,76112,GP - Ekurhuleni
798163360000016501,Urban,Gauteng,77102,GP - City of Johannesburg
299105510000006201,Urban,Eastern Cape,23105,EC - Nelson Mandela Bay
799143240000018101,Urban,Gauteng,78107,GP - City of Tshwane
199149500000011501,Urban,Western Cape,11104,WC - City of Cape Town
599127280000005101,Urban,KwaZulu-Natal,55105,KZN - eThekwini
763102690000013501,Urban,Gauteng,70101,GP - Non-metro
669103030000010901,Traditional,North West,60202,NW - Non-metro
799125300000019601,Urban,Gauteng,78106,GP - City of Tshwane
797106710000023501,Urban,Gauteng,76109,GP - Ekurhuleni
570101110000001501,Farms,KwaZulu-Natal,50301,KZN - Non-metro
799127290140000101,Urban,Gauteng,78113,GP - City of Tshwane
798143110000034101,Urban,Gauteng,77103,GP - City of Johannesburg
763103110000016501,Urban,Gauteng,70102,GP - Non-metro
864100610000001601,Urban,Mpumalanga,80101,MP - Non-metro
583103350000003901,Traditional,KwaZulu-Natal,50205,KZN - Non-metro
573100470000012901,Traditional,KwaZulu-Natal,50216,KZN - Non-metro
576102310000014601,Farms,KwaZulu-Natal,50301,KZN - Non-metro
766102570080000301,Urban,Gauteng,70103,GP - Non-metro
599131070000003301,Urban,KwaZulu-Natal,55112,KZN - eThekwini
961101960000012001,Traditional,Limpopo,90205,LP - Non-metro
798155230000109301,Urban,Gauteng,77102,GP - City of Johannesburg
961101960000001501,Traditional,Limpopo,90205,LP - Non-metro
866102790000002801,Urban,Mpumalanga,80101,MP - Non-metro
297105170000001001,Traditional,Eastern Cape,20216,EC - Non-metro
286101780000001701,Urban,Eastern Cape,20105,EC - Non-metro
566100570000002101,Farms,KwaZulu-Natal,50105,KZN - Non-metro
477101030000003501,Urban,Free State,40104,FS - Non-metro
169101390000010101,Urban,Western Cape,10105,WC - Non-metro
270101890000025301,Traditional,Eastern Cape,20210,EC - Non-metro
575102810000006101,Traditional,KwaZulu-Natal,50209,KZN - Non-metro
292104790000008101,Traditional,Eastern Cape,20215,EC - Non-metro
598104600000002601,Traditional,KwaZulu-Natal,50217,KZN - Non-metro
799127290140000201,Urban,Gauteng,78113,GP - City of Tshwane
798163360000056401,Urban,Gauteng,77102,GP - City of Johannesburg
797116710000018201,Urban,Gauteng,76102,GP - Ekurhuleni
797114280000014401,Urban,Gauteng,76112,GP - Ekurhuleni
283101060000014301,Traditional,Eastern Cape,20221,EC - Non-metro
460100940000008901,Urban,Free State,40104,FS - Non-metro
760106990000002201,Urban,Gauteng,70101,GP - Non-metro
968105750000001201,Traditional,Limpopo,90201,LP - Non-metro
868100160000003701,Urban,Mpumalanga,80401,MP - Non-metro
514101290000012501,Urban,KwaZulu-Natal,50108,KZN - Non-metro
799130450000006801,Urban,Gauteng,78107,GP - City of Tshwane
871101870000008701,Urban,Mpumalanga,80108,MP - Non-metro
291102980000012201,Traditional,Eastern Cape,20210,EC - Non-metro
160101020000001601,Urban,Western Cape,10108,WC - Non-metro
674101850000004801,Traditional,North West,60207,NW - Non-metro
499105140000004701,Urban,Free State,44101,FS - Mangaung
797140860000014501,Urban,Gauteng,76107,GP - Ekurhuleni
570101260000028801,Urban,KwaZulu-Natal,50102,KZN - Non-metro
797148950000029701,Urban,Gauteng,76109,GP - Ekurhuleni
199126200000024201,Urban,Western Cape,11109,WC - City of Cape Town
661108580000017301,Traditional,North West,60208,NW - Non-metro
269100310000001901,Farms,Eastern Cape,20301,EC - Non-metro
986102180000015601,Traditional,Limpopo,90212,LP - Non-metro
271100420000005401,Traditional,Eastern Cape,20201,EC - Non-metro
599154230000014701,Traditional,KwaZulu-Natal,55201,KZN - eThekwini
514101290000016101,Urban,KwaZulu-Natal,50108,KZN - Non-metro
599137300000010601,Urban,KwaZulu-Natal,55109,KZN - eThekwini
506102290000017901,Traditional,KwaZulu-Natal,50214,KZN - Non-metro
472107690000007701,Urban,Free State,40102,FS - Non-metro
293103360000003601,Traditional,Eastern Cape,20215,EC - Non-metro
467102630000005401,Urban,Free State,40108,FS - Non-metro
987102750000014801,Traditional,Limpopo,90209,LP - Non-metro
599127450000002101,Urban,KwaZulu-Natal,55105,KZN - eThekwini
542101820000002101,Traditional,KwaZulu-Natal,50209,KZN - Non-metro
964100820000002701,Traditional,Limpopo,90213,LP - Non-metro
360101130000005701,Traditional,Northern Cape,30201,NC - Non-metro
797126090010004601,Urban,Gauteng,76111,GP - Ekurhuleni
499103270000002601,Urban,Free State,44101,FS - Mangaung
868104920080002801,Urban,Mpumalanga,80110,MP - Non-metro
286103200000009201,Traditional,Eastern Cape,20205,EC - Non-metro
797146720000023001,Urban,Gauteng,76111,GP - Ekurhuleni
985100030000003101,Traditional,Limpopo,90208,LP - Non-metro
974102210000005001,Urban,Limpopo,90102,LP - Non-metro
579101250000001501,Traditional,KwaZulu-Natal,50205,KZN - Non-metro
166103840000008101,Urban,Western Cape,10103,WC - Non-metro
983101400000015001,Traditional,Limpopo,90210,LP - Non-metro
667102640000010201,Traditional,North West,60205,NW - Non-metro
798101930000018401,Urban,Gauteng,77113,GP - City of Johannesburg
499109220000022501,Urban,Free State,44103,FS - Mangaung
282103540000002601,Traditional,Eastern Cape,20204,EC - Non-metro
287102500000000501,Traditional,Eastern Cape,20221,EC - Non-metro
166100640000025501,Urban,Western Cape,10110,WC - Non-metro
966107930000012601,Traditional,Limpopo,90213,LP - Non-metro
499102740000010301,Urban,Free State,44102,FS - Mangaung
499102300000010401,Urban,Free State,44103,FS - Mangaung
677100390000011001,Urban,North West,60107,NW - Non-metro
760104610000010601,Urban,Gauteng,70102,GP - Non-metro
199117280000012101,Urban,Western Cape,11109,WC - City of Cape Town
504100580000006601,Traditional,KwaZulu-Natal,50218,KZN - Non-metro
